          15697                               קוצץ עשבי תיבול בקערת עץ000000000000                    0000044.93                                             005170                      די.סי.פאק0000000.00
          17171                                     חליטה בצנצנת 65 גר000000000000                    0000006.50                                             000001                           כללי0000000.00
          18664          18664               סט 4 קערות + מכסים צבעוני000000000000                    0000050.00                                             000006      קולקשן עיצוב תל-אביב בע"מ0000000.00
          21177          21177                    הנחת מזומן ח-ן 21177000000000000                    0000324.00                                             010002                       רוסולינג0000000.00
          21668          21668                            זיכוי החזרות000000000000                    0000416.10                                             010002                       רוסולינג0000000.00
          21921          21921                                   זיכוי000000000000                    0000186.44                                             010002                       רוסולינג0000000.00
          22261          22261                              הנחת מזומן000000000000                    0000272.03                                             010002                       רוסולינג0000000.00
          23093          23093                         גז למבער אמגזית000000000000                    0000007.45                                             087967                      עולם הבית0000000.00
          23347          23347                 פורס אבטיח + כף פריזיאן000000000000                    0000010.00                                             658932              נייס אנד פופ בע"מ0000000.00
          24595          24595                           חשבונית 24595000000000000                    0000087.00                                             003001          הבונבוניירי של סימונה0000000.00
          25140                                          חשבונית 25140000000000000                    0001294.01                                             003001          הבונבוניירי של סימונה0000000.00
          25365          25365                           תיון לימונענע000000000000                    0000004.00                                             000001                           כללי0000000.00
          25609          25609                           חשבונית 25609000000000000                    0005146.00                                             003001          הבונבוניירי של סימונה0000000.00
          25635          25635                           תיקון חשבונית000000000000                    0001555.59                                             006388                           דנהל0000000.00
